1,1,1,1|1,1,1,1|1,1,1,1|1,1,1,1	16
0,0,0,0|0,0,0,0|0,0,0,0|0,0,0,0	0
1|1|1|1|1|1|1|1|1|1	10
1|0|1|1|1|1|0|0|0|1	4
0|1|0|1|0|1|0|1|0|1	1
1,1,1,1,1,1,1,1,1,0	9
1,0,0,0,1,1,0,1,1,1	3
1,1,0,1,0,1,0,1,0,1	2
1,0,0,0,0,0,0,0,0,1	1
1,0|0,1|1,0|0,1|1,0|0,1|1,0|0,1|1,0|0,1	10
1,1|0,1|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0	3
1,0,0|0,1,0|0,0,1|0,1,0|1,0,0|0,1,0|0,0,1|0,1,0|1,0,0|0,0,1	9
1,1,0|0,1,1|0,0,1|0,0,0|0,0,1|0,1,1|1,1,0|1,0,0|1,0,0|0,1,0	8
1	1
0	0
1,0|0,1	2
1,0,1|0,0,0|0,1,0	1
1,1,1,1,1,1,1,1,1,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,1,1,1,1,1,1,1,1,1	36
1,1,1,1,1,1,1,1,1,1|0,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,1,1,1,1,1,1,1,1,1	35
1,1,1,1,1,1,1,1,1,1|0,0,0,0,0,0,0,0,0,0|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,0,0,0,0,0,0,0,0,1|1,1,1,1,1,1,1,1,1,1	24
1,0,0,0,0,0,0,0,0,0|0,1,0,0,0,0,0,0,0,0|0,0,1,0,0,0,0,0,0,0|0,0,0,1,0,0,0,0,0,0|0,0,0,0,1,0,0,0,0,0|0,0,0,0,0,1,0,0,0,0|0,0,0,0,0,0,1,0,0,0|0,0,0,0,0,0,0,1,0,0|0,0,0,0,0,0,0,0,1,0|0,0,0,0,0,0,0,0,0,1	10
1,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0	1
0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,1,0,0,0,0,0|0,0,0,0,0,1,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0	2
0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,1	1
1,1,0,0|0,1,1,0|0,0,1,0|1,0,0,0	5
1,1,1,1,1,1,1,1,1,1|0,1,0,0,0,0,0,0,0,1|0,0,1,0,0,0,0,0,0,1|0,0,0,1,0,0,0,0,0,1|0,0,0,0,1,0,0,0,0,1|0,0,0,0,0,1,0,0,0,1|0,0,0,0,1,0,0,0,0,1|0,0,0,0,0,0,0,0,0,1|0,0,0,0,0,0,0,0,0,1|0,1,0,0,0,0,0,0,0,1	25
0,0,0,0,1,0,0,0,0,1|0,0,0,1,0,1,0,0,1,0|0,0,1,0,0,0,1,1,0,0|0,1,0,0,0,0,1,1,0,0|1,0,0,0,0,1,0,0,1,0|0,1,0,0,1,0,0,1,0,0|0,0,1,1,0,0,1,0,0,0|0,0,1,1,0,1,0,0,0,0|0,1,0,0,1,0,0,0,0,0|1,0,0,0,0,0,0,0,0,0	26
1,1,1,0,0,0,0,0,0,0|0,1,0,0,0,0,0,1,1,0|0,0,1,1,1,0,0,1,0,0|0,0,0,0,0,1,1,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,1|0,0,0,0,0,0,0,0,1,0|0,0,0,0,0,1,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0	12
1,1,1,1,1,1,1,1,1,1|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0|1,0,0,0,0,0,0,0,0,1|1,1,1,1,1,1,1,1,1,1	12
1,1,1,0,0|0,0,1,0,1|0,0,1,1,0|1,0,0,0,0	7
